STATUS,AGENDA_DATE,ITEM_NUMBER,REQUEST_TYPE,POSTING_LANGUAGE,LEAD_DEPT,SUB-DEPTS,TAGS,ATTACHMENTS,ITEM_TYPE,CURRENT_STATUS,CURRENT_STATUS_UPDATED,PERSONAL_TAG
Closed,10/27/2022 12:00:00 AM,038,Resolution,"Approve a resolution initiating site-specific variances and amendments to City
Code Title 25, including Chapter 25-8, Subchapter A, Article 13 (Save Our
Springs Initiative), as minimally required to address proposed mobility and
safety improvements while maximizing environmental protection in the public
right-of-way on Slaughter Lane from Loop 1 (MoPac) to 650 feet east of Brodie
Lane, located within the Barton Springs Zone.",Capital Delivery Services,,"Transportation,Public Safety,Flood,Zoning",https://www.austintexas.gov/department/city-council/2022/20221027-reg.htm#038,Item,"On June 1, 2023, the City Council approved Ordinance 20230601-054, granting a
site-specific amendment to LDC 25-8- 514 (Pollution Prevention Required) to
allow impervious cover in excess of 15% within the Barton Springs Zone in the
Edwards Aquifer Recharge Zone, along with variances to the following code
sections: 25-8- 364(B)(3) (Floodplain Modification)to allow floodplain
modification within a floodplain that is in good or excellent condition, and
25-8-641 (Removal Prohibited) to allow the removal of a heritage tree that has
at least one stem that is 30 inches or larger in diameter.",04/30/2025 08:20:19 PM,
Closed,12/08/2022 12:00:00 AM,059,Resolution,"Approve a resolution directing the City Manager to partner with the
Intergenerational Day Center Advisory Group to implement an Intergenerational
Resource Activity Center at the Nash Hernandez Building to address a
fast-growing, low-income population in Austin and childcare needs in the 78702
zip code area and surrounding areas",Austin Public Health,"Austin Public Health,Austin Parks and Recreation",Culture,https://www.austintexas.gov/department/city-council/2022/20221208-reg.htm#059,Item,"Memo to Mayor and Council sent August 12, 2024",04/30/2025 02:53:56 PM,
Closed,12/08/2022 12:00:00 AM,061,Resolution,"Approve a resolution directing the City Manager to conduct a high-level staff
review assessing the feasibility of providing trail connections north of the
Colorado River from Pleasant Valley Road to the Colorado River Trailhead and
report findings to City Council by June 2023.",Transportation and Public Works,,Parkland,https://www.austintexas.gov/department/city-council/2022/20221208-reg.htm#061,Item,,,
Closed,12/08/2022 12:00:00 AM,063,Resolution,"Approve a resolution directing the City Manager to assess the recommendations
made by the UT Entrepreneurship and Community Development Clinic on actions that
the City can take to lessen the burden of annual assessments and special
assessments on owners of income-restricted condominium units.",Housing,,Affordable Housing,https://www.austintexas.gov/department/city-council/2022/20221208-reg.htm#063,Item,,,
Closed,12/08/2022 12:00:00 AM,065,Resolution,"Approve a resolution initiating rezoning of the City’s properties located at
1215 Red River Street and 606 East 12th Street to Central Business District
(CBD) and initiating amendments to City Code Section 25-2-586 to include these
properties in the Downtown Density Bonus Program.",Housing,"Housing,Planning,Economic Development Department",Zoning,https://www.austintexas.gov/department/city-council/2022/20221208-reg.htm#065,Item,,,
Closed,12/08/2022 12:00:00 AM,069,Resolution,"Approve a resolution directing the City Manager to continue using the
Northbridge Shelter as a bridge shelter until a comparable replacement is
operational, and to identify strategies and funding options to maintain a
minimum number of bridge shelter rooms.",Homeless Strategy Office,,Homelessness,https://www.austintexas.gov/department/city-council/2022/20221208-reg.htm#069,Item,Memo has been uploaded and sent for final official distribution.,10/17/2025 04:33:14 PM,
Closed,12/01/2022 12:00:00 AM,038,Resolution,"Approve a resolution directing the City Manager to develop modifications to
certain program requirements in economic development agreements for small
businesses under Chapter 380 of the Local Government Code",Economic Development Department,,,https://www.austintexas.gov/department/city-council/2022/20221201-reg.htm#038,Item,"Final responsive memo sent to Mayor and Council on March 14, 2025.",04/03/2025 02:56:49 PM,
Closed,12/01/2022 12:00:00 AM,040,Resolution,"Approve a resolution regarding updates to the 2030 Austin Energy Resource,
Generation, and Climate Protection Plan",Austin Energy,,,https://www.austintexas.gov/department/city-council/2022/20221201-reg.htm#040,Item,"Memo sent to Mayor and Council on March 8, 2024.",04/30/2025 02:38:32 PM,
Closed,12/01/2022 12:00:00 AM,042,Resolution,"Approve a resolution directing the City Manager to develop and recommend a
centralized parking management policy for City facilities and authorizing the
use of an outside consultant.",Transportation and Public Works,,,https://www.austintexas.gov/department/city-council/2022/20221201-reg.htm#042,Item,"Transportation and Public Works Department submitted a memo to Mayor and Council
providing a status update and phased implementation approach in response to the
Council direction. The resolution directed the City Manager to draft and
recommend a centralized parking management strategy to support the overall
financial health of our city departments and enterprises, encourage easy and
affordable access tor residents using City amenities, and to align with
parking-related goals in CityCouncil-approved policies. The memo included an
attachement with a study prepared by Dixon Resources Unlimites, containing
strategies outlined in the plan to implement a Centralized Parking Management
Plan with the objective of enhancing parking operations managed by various City
department.",02/28/2025 03:43:28 PM,
Closed,12/01/2022 12:00:00 AM,043,Resolution,"Approve a resolution concerning policies for leasing of City-controlled
facilities.",Financial Services,,,https://www.austintexas.gov/department/city-council/2022/20221201-reg.htm#043,Item,,,
Closed,12/01/2022 12:00:00 AM,046,Resolution,"Approve a resolution establishing targets for enrollment of eligible households
in Austin Energy’s Customer Assistance Program and directing the City Manager to
facilitate program expansion.",Austin Energy,,,https://www.austintexas.gov/department/city-council/2022/20221201-reg.htm#046,Item,"Council’s resolution requiring Austin Energy to reach 90% of the eligible
low-income customers (estimated to be up to 93,000 customers) resulted in
setting three enrollment milestones through 2025, which will culminate in Austin
Energy reaching the established goal: • 46% of eligible customers enrolled by
June 2023: 42,780 households (exceeded) • 72% of eligible customers enrolled by
June 2024: 66,690 households (exceeded) • 90% of eligible customers enrolled by
June 2025: 83,700 households To meet these goals, Austin Energy completed a
process to add new programs to qualify customers for CAP discounts, including
the housing voucher program of the Housing Authority of the City of Austin
(HACA), implemented a robust marketing and advertising campaign, and optimized
program operations to identify more eligible customers. Austin Energy’s planned
expansion measures have, thus far, exceeded the enrollment milestone goals,
ending June 2024 at 69,392 households. We will maintain rigorous quality control
measures to manage the program while ensuring eligible individuals receive
benefits quickly and efficiently. Regular data reviews and cross-checks against
multiple data sources are part of our analysis. Our plan manages risk well
within acceptable industry standards for similar programs",03/06/2025 05:36:22 PM,
Closed,12/01/2022 12:00:00 AM,048,Resolution,"Approve a resolution relating to scaling site plan review requirements
appropriately for missing middle housing developments of three to sixteen
residential units; and initiating amendments to City Code Title 25.",Development Services Department,,,https://www.austintexas.gov/department/city-council/2022/20221201-reg.htm#048,Item,"Deliverable complete. Part 1 of Resolution No. 20221201-048 scaled site plan
review requirements for three and four units and was completed on July 20, 2023,
with the passage of Ordinance No. 20230720-158. Part 2 of Resolution No.
20221201-048 and Resolution No. 20230504-023 was recommended by the Planning
Commission on November 12, 2024, and approved by Council on March 6, 2025 with
the passage of Ordinance No. 20250306-037. The ordinance as amended will go into
effect on June 16, 2025. Should you have any further questions please reach out
to Keith Mars, Assistant Director, Development Services Department at (512)
466-4598 or Keith.Mars@austintexas.gov.",06/13/2025 02:15:40 PM,
Closed,01/26/2023 12:00:00 AM,054,Resolution,"Approve a resolution directing the City Manager to make recommendations on
aligning long-range environmental policy plans with elements of the
Kunming-Montreal Global Biodiversity Framework: 23 Targets produced at the
United Nations Convention on Biological Diversity COP15.",Watershed Protection,,Environment,https://www.austintexas.gov/department/city-council/2023/20230126-reg.htm#054,Item,,,
Closed,02/23/2023 12:00:00 AM,043,Resolution,"Approve a resolution directing the City Manager to establish a City goal for
delivering affordable and accessible student housing and to explore
opportunities for increasing the supply of student housing near institutions of
higher learning within the City",Housing,Housing,Affordable Housing,https://www.austintexas.gov/department/city-council/2023/20230223-reg.htm#043,Item,,,
Closed,11/03/2022 12:00:00 AM,020,Resolution,"Approve a resolution authorizing the negotiation and execution of a Multiple Use
Agreement with the Texas Department of Transportation (TxDOT) for the
implementation of pedestrian and bicycle infrastructure and other associated
improvements within TxDOT right-of-way to support and facilitate safer
multi-modal access for the South Lamar corridor project and Westgate CapMetro
transit station.",Transportation and Public Works,,Transportation,https://www.austintexas.gov/department/city-council/2022/20221103-reg.htm#020,Item,,,
Closed,03/09/2023 12:00:00 AM,024,Resolution,"Approve a resolution initiating amendments to City Code Title 25 related to
disaggregation of substandard lots and lots that qualify for small-lot amnesty.",Development Services Department,"Development Services Department,Planning",Affordable Housing,https://www.austintexas.gov/department/city-council/2023/20230309-reg.htm#024,Item,"In May of 2024, Council passed Ordinance No. 20240516-006 which reduced the
minimum lot size for SF-1, SF-2, and SF-3. The reductions to the required
minimum lot size allow all lots 1,800 square feet or greater to disaggregate and
develop under small lot single-family regulations instead of substandard lot
requirements, which achieves the goals and intent of Resolution No.
20230309-024.",03/26/2025 08:18:08 PM,
Closed,03/23/2023 12:00:00 AM,059,Resolution,"Approve a resolution directing the City Manager to provide recommendations for
aligning the City’s preservation incentive programs for historic properties with
the Equity Based Preservation Plan.",Planning,"Planning,Economic Development Department",,https://www.austintexas.gov/department/city-council/2023/20230323-reg.htm#https://www.austintexas.gov/department/city-council/2023/20230323-reg.htm#059,Item,"Final responsive memo sent to Mayor and council on November 19, 2025 Memo",06/04/2025 01:58:01 PM,
Closed,04/13/2023 12:00:00 AM,046,Resolution,"Approve a resolution directing the City Manager to prioritize the development of
deeply affordable housing on the City-owned property located at 4800 Bolm Road,
Austin, Texas 78702 and identify potential funding sources for any environmental
remediation required for residential development on the property.",Financial Services,"Financial Services,Housing,Austin Resource Recovery",,https://www.austintexas.gov/department/city-council/2023/20230413-reg.htm#046,Item,,,
Closed,04/13/2023 12:00:00 AM,048,Resolution,"Approve a resolution directing the City Manager to explore the feasibility of an
interlocal agreement for the development of an Austin/Travis County Diversion
Center, identify financial resources necessary to partner in developing a pilot
for mental health diversion services and a bridge housing program, and provide
updates to the Public Health Committee and a report to Council.",Downtown Austin Community Court,"Austin Police Department,Austin Public Health",,https://www.austintexas.gov/department/city-council/2023/20230413-reg.htm#048,Item,"The response to this Resolution is complete. A presentation regarding the Mental
Health Diversion Pilot was presented by Downtown Austin Community Court, Travis
County, and Integral Care to the Public Health Committee on April 3, 2024
(available here: https://services.austintexas.gov/edims/document.cfm?id=426147),
and Council approved the initial year of funding for the pilot through approval
of Item 20240530-009, available here:
https://services.austintexas.gov/edims/document.cfm?id=429141. Additional
information can be found in the final staff response memo from May 23, 2024,
available here: https://services.austintexas.gov/edims/document.cfm?id=437254.",03/13/2025 06:16:25 PM,
Closed,04/20/2023 12:00:00 AM,024,Resolution,"Approve a resolution directing the City Manager to create a plan and
implementation schedule to transition the City to sustainable
low-embodied-carbon concrete.",Transportation and Public Works,,,https://www.austintexas.gov/department/city-council/2023/20230420-reg.htm#024,Item,,,
Closed,05/04/2023 12:00:00 AM,023,Resolution,"Approve a resolution relating to subdivision plat processes and fees for
residential development and the creation of infill lots; and initiating
amendments to City Code Title 25 to achieve an amended plat process and to
increase opportunities to create infill lots for residential development.",Development Services Department,"Development Services Department,Planning",,https://www.austintexas.gov/department/city-council/2023/20230504-reg.htm#023,Item,"Tasking Complete. Resolution No. 20230504-023 was recommended by the Planning
Commission on November 12, 2024, and approved by Council on March 6, 2025 with
the passage of Ordinance No. 20250306-037. The ordinance as amended will go into
effect on June 16, 2025. Should you have any further questions please reach out
to Keith Mars, Assistant Director, Development Services Department at (512)
466-4598 or Keith.Mars@austintexas.gov.",03/31/2025 04:04:16 PM,
Closed,05/18/2023 12:00:00 AM,044,Resolution,"Approve a resolution initiating amendments to City Code Title 25 related to
capital improvements to the Ann and Roy Butler Hike and Bike Trail (the “Butler
Trail”) and setbacks applicable to the Butler Trail.",Watershed Protection,,,https://www.austintexas.gov/department/city-council/2023/20230518-reg.htm#044,Item,,,
Closed,06/01/2023 12:00:00 AM,046,Resolution,"Approve a resolution accepting the Greater Austin Music Census of 2022 and
directing the inclusion of data from the census and the Live Music Fund
application process on the City’s Open Data Portal.",Economic Development Department,,,https://www.austintexas.gov/department/city-council/2023/20230601-reg.htm#046,Item,"Between June and November 2023, City staff worked with third-party, Sound Music
Cities, to publish their 2022 Austin Music Census data to the City of Austin
Open Data Portal. This information can be found here:
https://data.austintexas.gov/stories/s/rpy8-prg4 The Live Music Fund application
process was first published April 4, 2023 and continues to be available on the
City of Austin website: https://www.austintexas.gov/atxmusic/live-music-fund.",04/30/2025 08:28:34 PM,
Closed,07/20/2023 12:00:00 AM,128,Resolution,"Approve a resolution directing the exploration of a South Shore Cultural
District and associated planning and financing.",Economic Development Department,"Economic Development Department,Austin Convention Center","Downtown,Culture,Parkland",https://www.austintexas.gov/department/city-council/2023/20230720-reg.htm#128,Item,"After completing the assigned district initiatives and using current budget
allocations for district development, Economic and Cultural District staff will
begin providing services for new districts in alignment with the Economic and
Cultural District Framework Policy. Based on current service capacity, staff can
support the development of one new district per fiscal year, with delivery
expected through the District Management Entity Support Program (Souly Austin)
in FY27. Existing districts will continue to receive ombudsman support from EDD
staff to access city resources. EDD staff has submitted a close out memo, Chief
of Staff will be sending out official.",03/14/2025 09:30:11 PM,
Closed,06/08/2023 12:00:00 AM,041,Resolution,"Approve a resolution initiating amendments to City Code Title 25 (Land
Development Code) related to a density bonus program for residential
developments that include income-restricted housing units.",Housing,"Housing,Planning",,https://www.austintexas.gov/department/city-council/2023/20230608-reg.htm#041,Item,"A closeout memo has been submitted for review, which responds to a proposal for
a new tier in the Affordability Unlocked (AU) program. A Comprehensive Analysis
of Density Bonus Programs found the AU program effective for affordable housing,
but leggally complex to modify. Staff recommends focusing on other density bonus
programs like DBETOD and DB90 to support affordable housing. Creating a new AU
tier is not advised; instead, improving existing programs is preferred.",07/11/2025 07:33:27 PM,
Closed,06/08/2023 12:00:00 AM,045,Resolution,"Approve a resolution initiating amendments to City Code Title 25 (Land
Development Code) to change compatibility requirements.",Planning,"Planning,Housing,Development Services Department",,https://www.austintexas.gov/department/city-council/2023/20230608-reg.htm#045,Item,,,
Closed,06/08/2023 12:00:00 AM,046,Resolution,"Approve a resolution initiating a code amendment regarding mandatory pet
microchipping and directing the City Manager to conduct a review of Animal
Services Office policies to facilitate and implement citywide microchipping and
animal welfare services.",Animal Services,,,https://www.austintexas.gov/department/city-council/2023/20230608-reg.htm#046,Item,"Ordinance 20240926-002 passed and approved to require an owner of an animal be
responsible for having each animal in their possession microchipped and maintain
a current registration with a microchip registration company. Staff will provide
a memo update on policy evaluation, educational programming, and increasing
microchip scanning access points across City-owned locations by end of March
2025.",03/12/2025 06:35:43 PM,
Closed,06/08/2023 12:00:00 AM,082,Resolution,"Approve a resolution initiating amendments to City Code Title 25 (Land
Development Code) related to electrical vehicle charging.",Planning,"Planning,Transportation and Public Works",,https://www.austintexas.gov/department/city-council/2023/20230608-reg.htm#082,Item,,,
Closed,07/20/2023 12:00:00 AM,123,Resolution,"Approve a resolution establishing the City’s standard pay rate for commissioning
live music performances.",Economic Development Department,,Culture,https://www.austintexas.gov/department/city-council/2023/20230720-reg.htm#123,Item,"Since July 20, 2023 the Economic Development Department and all other City of
Austin departments have paid all hired musicians at the indicated rate. The Live
Music Fund will relaunch for new applicants in 2024 and this pay scale will be a
required deliverable from awardees.",04/30/2025 08:29:30 PM,
Closed,07/20/2023 12:00:00 AM,126,Resolution,"Approve a resolution initiating amendments to Title 25 (Land Development) to
modify site development regulations, including minimum lot size and maximum
number of dwelling units, applicable to development on lots with single-family
zoning.",Development Services Department,"Development Services Department,Housing,Planning","Affordable Housing,Zoning",https://www.austintexas.gov/department/city-council/2023/20230720-reg.htm#126,Item,"HOME Part I went to the Planning Commission on November 14, 2023, and then to
the City Council on December 7, 2023, where it passed. HOME Part II went to the
Planning Commission on April 23, 2024, and to the City Council on May 16, 2024,
where it passed. HOME Part I went into effect on February 5, 2024, and HOME Part
II goes into effect on August 16, 2024, for all properties except those located
within the Wildlands Urban Interface (WUI) or identified as a census tract
within the Uprooted study.",04/30/2025 08:23:23 PM,
Closed,07/20/2023 12:00:00 AM,127,Resolution,"Approve a resolution related to authorizing the Housing Authority of Travis
County (HATC) to exercise its powers within the City.",Housing,Housing,Affordable Housing,https://www.austintexas.gov/department/city-council/2023/20230720-reg.htm#127,Item,,,
Closed,11/09/2023 12:00:00 AM,029,Resolution,"Approve a resolution initiating amendments to the Climate Equity Plan and to
elements of the Imagine Austin Comprehensive Plan, including the Austin
Strategic Mobility Plan, regarding telework policies.",Office of Climate Action & Resilience,,"Transportation,Equity",https://www.austintexas.gov/department/city-council/2023/20231109-reg.htm#029,Item,,,
Closed,07/20/2023 12:00:00 AM,195,Resolution,"Approve a resolution related to amendments to Title 25 (Land Development Code)
that are indirectly connected to City Council-initiated Code amendments.",Planning,,Zoning,https://www.austintexas.gov/department/city-council/2023/20230720-reg.htm#195,Item,"Staff is committed to following the direction given in this resolution. When
Council resolutions initiate Land Development Code amendments, staff will
propose related amendments which support the policy goal of the initiating
resolution should those related amendments fulfill the criteria described in
this resolution.",07/31/2025 07:43:28 PM,
Closed,08/16/2023 12:00:00 AM,015,Resolution,"Approve a resolution related to exploring the feasibility of placing a mural on
the Austin Water storage tank located in Armadillo Park.",Austin Water,,Culture,https://www.austintexas.gov/department/city-council/2023/20230816-reg.htm#014,Item,"Austin Water (AW) has evaluated its water storage tank and agrees that it
provides an opportunity to display public art for the community and our
customers. AW has worked directly with the Economic Development Department (EDD)
to determine the ability to move forward with this project through its Art in
Public Places (AIPP) program. AW and EDD agree that the AIPP program will manage
the artwork opportunity and select an artist/artist team to create a mural on
the storage tank using AW's available funding. The current AIPP programmatic
processes will be utilized for this project, including project discovery, artist
selection, community engagement, design and fabrication, and project close-out,
with review and advisement at regular points in the process by the Art in Public
Places Panel and Arts Commission. EDD plans to issue a call to Artists in
September 2024, with the artist contract executed in early spring 2025.",04/30/2025 08:14:46 PM,
Closed,08/16/2023 12:00:00 AM,016,Resolution,"Approve a resolution directing the City Manager to explore a Downtown Austin
Community Court Mobile Court pilot.",Downtown Austin Community Court,,"Downtown,Public Safety",https://www.austintexas.gov/department/city-council/2023/20230816-reg.htm#016,Item,"Memo sent to Mayor and Council March 27, 2024",04/30/2025 08:27:39 PM,
Closed,08/16/2023 12:00:00 AM,017,Resolution,"Approve a resolution relating to funding for permanent supportive housing funded
with the 2022 Affordable Housing Bonds",Housing,Housing,Affordable Housing,https://www.austintexas.gov/department/city-council/2023/20230816-reg.htm#017,Item,,,
Closed,08/16/2023 12:00:00 AM,020,Resolution,"Approve a resolution directing the City Manager to initiate a study to identify
the full population of need and options for providing additional resources for
City employees already receiving the full non-taxable amount of dependent care
stipends, as well as a pilot program for City employees to increase childcare
stipends.",Human Resources,,,https://www.austintexas.gov/department/city-council/2023/20230816-reg.htm#020,Item,,,
Closed,08/16/2023 12:00:00 AM,014,Resolution,"Approve a resolution directing the City Manager to explore expansion and funding
for the Paramedic Practitioners and the Collaborative Care Communication Center
programs.",Emergency Medical Services,,Health,https://www.austintexas.gov/department/city-council/2023/20230816-reg.htm#014,Item,,,"[""CREATIVE"",""SERVICES""]"
Closed,08/31/2023 12:00:00 AM,087,Resolution,"Approve a resolution relating to the annual display of the Pride flag at
City-owned facilities during the month of June",Building Services,,Equity,https://www.austintexas.gov/department/city-council/2023/20230831-reg.htm#087,Item,"City‐ owned facilities are directed to display the Progress Pride Flag
throughout the month of June each year. The Building Services Department (BSD)
recognizes there are a variety of facilities owned by the City. As such, this
information will apply to the public-facing facilities with a flagpole and/or a
public lobby. Department Directors shall at a minimum display the Pride Flag at
their department headquarters buildings and use discretion in determining the
appropriate display of the Pride flag at other locations in alignment with the
resolution. Flags may be displayed rather than flown in cases where a flagpole
is unavailable. Displays may include being hung against a wall or in the air of
an atrium. Displays should be in an area where a member of the public could
reasonably view the flag and in alignment with established flag guidance and
norms. For more information on flag etiquette, you can review statutory laws
U.S. Code Section 7 and Texas Government Code Title 11. Council’s direction in
the resolution is for departments to use the Progress Pride flag, which is
distinct from the rainbow flag",04/30/2025 08:19:03 PM,
Closed,08/31/2023 12:00:00 AM,088,Resolution,"Approve a resolution initiating amendments to City Code Title 25 (Land
Development) to require residential property owners to provide and maintain
refrigerated air equipment.",Development Services Department,,Zoning,https://www.austintexas.gov/department/city-council/2023/20230831-reg.htm#088,Item,"Local amendments to the International Property Code, Building Code, and
Residential Code adopted on April 10, 2025, mandate that all residential
dwellings contain, in operating condition, refrigerated air equipment capable of
maintaining room temperatures that are at least 15 degrees cooler than the
outside air temperature, and in no event, higher than 85 degrees.",08/04/2025 03:42:09 PM,
Closed,08/31/2023 12:00:00 AM,137,Resolution,"Approve a resolution authorizing the negotiation of an interlocal agreement with
Travis County and other interested entities to create a collaborative North East
Planning District, an advisory committee and allocate funding.",Planning,,"Zoning,Culture,Equity,Environment",https://www.austintexas.gov/department/city-council/2023/20230831-reg.htm#137,Item,,,
Closed,12/14/2023 12:00:00 AM,100,Resolution,"Approve a resolution relating to retention and support of City employees
experiencing immigration issues that may affect their employment.",Office of Equity and Inclusion,"Office of Equity and Inclusion,Human Resources","Equity,Legislation",https://www.austintexas.gov/department/city-council/2023/20231214-reg.htm#100,Item,,,
